0.15,0.6,1.44,2.64,4.24,6.15,8.36,10.94,13.79,17.21
0.009,0.019,0.03,0.043,0.052,0.069,0.081,0.092,0.103,0.121
0.009,0.018,0.026,0.036,0.046,0.06,0.071,0.081,0.094,0.105
0.02,0.045,0.072,0.096,0.121,0.149,0.171,0.2,0.233,0.255
0.02,0.04,0.061,0.081,0.108,0.142,0.167,0.196,0.215,0.244
0.019,0.041,0.066,0.093,0.125,0.143,0.193,0.211,0.23,0.264
0,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.007,0.009
2.23,9.486,23.09,42.64,94.53,140.28,207.93,297.69,416.08,503.73
1.1,4.7,11.11,20.29,39.17,86.21,130.8,190.2,264.7,359.3
